,speaker,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,season,top1_prop,top2_prop,top3_prop,top4_prop,top5_prop,top6_prop,top7_prop,top8_prop,top9_prop,top10_prop,top11_prop,top12_prop,top13_prop,top14_prop,top15_prop
99,Oscar,michael,know,thats,right,think,one,senator,youre,season,worth,say,well,guy,great,he,7,0.02009456264775414,0.01182033096926714,0.01182033096926714,0.010638297872340425,0.010638297872340425,0.010638297872340425,0.008274231678486997,0.008274231678486997,0.008274231678486997,0.0070921985815602835,0.0070921985815602835,0.0070921985815602835,0.0070921985815602835,0.0070921985815602835,0.0070921985815602835
100,Oscar,andy,dont,know,guy,really,kevin,better,want,get,would,he,gay,season,right,dwight,8,0.011834319526627219,0.011834319526627219,0.01098901098901099,0.01014370245139476,0.009298393913778529,0.0076077768385460695,0.0076077768385460695,0.0076077768385460695,0.0076077768385460695,0.006762468300929839,0.006762468300929839,0.006762468300929839,0.006762468300929839,0.006762468300929839,0.006762468300929839
101,Oscar,kevin,angela,youre,know,go,thats,get,dont,sorry,dwight,whoa,well,like,people,got,9,0.015615615615615615,0.015615615615615615,0.012012012012012012,0.010810810810810811,0.00960960960960961,0.009009009009009009,0.009009009009009009,0.008408408408408409,0.007807807807807808,0.007207207207207207,0.006606606606606606,0.006606606606606606,0.006606606606606606,0.006006006006006006,0.006006006006006006
102,Pam,like,dont,dwight,going,youre,gon,really,there,michael,think,good,thats,would,want,he,1,0.021246458923512748,0.015580736543909348,0.0113314447592068,0.0113314447592068,0.0113314447592068,0.0113314447592068,0.0113314447592068,0.0113314447592068,0.0113314447592068,0.0113314447592068,0.009915014164305949,0.009915014164305949,0.0084985835694051,0.0084985835694051,0.0084985835694051
103,Pam,like,know,jim,michael,dont,really,want,get,dwight,think,look,thats,god,one,pam,2,0.01833976833976834,0.017696267696267698,0.017374517374517374,0.01705276705276705,0.014800514800514801,0.014157014157014158,0.010939510939510939,0.009652509652509652,0.00933075933075933,0.009009009009009009,0.007722007722007722,0.0074002574002574005,0.007078507078507079,0.007078507078507079,0.007078507078507079
104,Pam,michael,like,dont,really,know,jim,thats,think,get,dwight,one,mean,go,good,well,3,0.017241379310344827,0.017241379310344827,0.01656524678837052,0.01656524678837052,0.014874915483434753,0.012508451656524679,0.011494252873563218,0.010141987829614604,0.009127789046653144,0.008113590263691683,0.00777552400270453,0.00777552400270453,0.0074374577417173765,0.0067613252197430695,0.006423258958755916
105,Pam,michael,jim,dont,know,one,get,dwight,like,really,pam,go,gon,see,youre,going,4,0.021528070915998312,0.015196285352469396,0.014774166314900802,0.01266357112705783,0.012241452089489235,0.010975094976783452,0.008442380751371888,0.008442380751371888,0.008020261713803293,0.008020261713803293,0.007598142676234698,0.007176023638666104,0.007176023638666104,0.007176023638666104,0.006753904601097509
106,Pam,michael,know,dont,get,jim,good,like,one,really,right,look,thats,gon,new,phone,5,0.022643818849449205,0.011627906976744186,0.011627906976744186,0.010709914320685434,0.010097919216646267,0.009791921664626682,0.008873929008567932,0.008873929008567932,0.008567931456548347,0.008261933904528763,0.007649938800489596,0.0073439412484700125,0.007037943696450428,0.007037943696450428,0.006425948592411261
107,Pam,michael,dont,get,jim,know,really,think,like,want,go,going,come,look,youre,well,6,0.02823227462303497,0.01668270773179339,0.014436958614051972,0.012191209496310555,0.010587102983638113,0.010266281681103625,0.010266281681103625,0.00930381777350016,0.008982996470965673,0.008662175168431183,0.008020532563362208,0.007378889958293231,0.007058068655758742,0.007058068655758742,0.006737247353224254
108,Pam,dont,know,michael,one,well,think,get,really,like,go,jim,office,dwight,thats,going,7,0.018176120338451895,0.016609213412723284,0.012221874020683171,0.011908492635537449,0.011281729865246004,0.010968348480100282,0.010968348480100282,0.009714822939517392,0.008774678784080225,0.008461297398934503,0.00814791601378878,0.007834534628643058,0.007521153243497336,0.007207771858351614,0.006581009088060169
109,Pam,like,dont,think,know,well,thats,jim,good,going,go,really,mean,right,youre,gon,8,0.0210727969348659,0.014367816091954023,0.013888888888888888,0.01293103448275862,0.012452107279693486,0.011015325670498084,0.010057471264367816,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.007662835249042145,0.007662835249042145,0.007183908045977011,0.007183908045977011,0.006704980842911878
110,Pam,know,dont,jim,like,think,well,get,got,really,dwight,u,want,great,go,guy,9,0.015079165619502387,0.013068610203568736,0.012565971349585323,0.01206333249560191,0.01130937421462679,0.009801457652676551,0.008544860517718019,0.0077909022367429,0.007539582809751194,0.007539582809751194,0.007539582809751194,0.007288263382759487,0.007288263382759487,0.007036943955767781,0.006785624528776075
